numero;nom;plan_eau;municipalite;mrc;categorie;lat;lon;url_fiche
X2179723;nan;Wilson, Ruisseau;La Pêche;Les Collines-de-l'Outaouais;Petit barrage;45.647333;-75.849528;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179724;nan;Laviolette, Lac / Trib.46D.00M.05S.-74D.08M.40S.;Sainte-Adèle;Les Pays-d'en-Haut;Petit barrage;46.005028;-74.137917;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179728;Blanc, Barrage;Blanc, Lac / Blanc, Ruisseau;Lac-Huron;Rimouski-Neigette;Faible contenance;48.013389;-68.26625;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179729;nan;Kirby, Lac / Benoît, Ruisseau;Austin;Memphrémagog;Faible contenance;45.253103;-72.249267;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179731;nan;Petite Rivière, La;Sainte-Anne-des-Lacs;Les Pays-d'en-Haut;Faible contenance;45.833111;-74.109806;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179732;Étang-Reynolds, Barrage de l';East Swamp, Ruisseau;Clarenceville;Le Haut-Richelieu;Faible contenance;45.022222;-73.197028;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179733;nan;;Saint-Félix-de-Valois;Matawinie;Petit barrage;46.159722;-73.396944;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179735;nan;;Rawdon;Matawinie;Faible contenance;46.0705;-73.833192;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179736;nan;;Rawdon;Matawinie;Faible contenance;46.073417;-73.8302;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179737;nan;Trib.48D.41M.28S.-72D.30M.34S.;Saint-Félicien;Le Domaine-du-Roy;Petit barrage;48.6876;-72.524;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179738;nan;;Saint-Gédéon;Lac-Saint-Jean-Est;Faible contenance;48.553472;-71.7585;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181525;nan;Lac Cinquante, Décharge du;Rivière-à-Pierre;Portneuf;Petit barrage;46.973611;-72.162056;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181526;nan;Lac Cinquante, Décharge du;Rivière-à-Pierre;Portneuf;Faible contenance;46.976111;-72.165833;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181537;nan;;Sutton;Brome-Missisquoi;Faible contenance;45.110353;-72.610044;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181541;nan;Trib.45D.06M.11S.-72D.37M.15S.;Sutton;Brome-Missisquoi;Faible contenance;45.110111;-72.569889;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181543;nan;Trib.45D.44M.40S.-74D.01M.58S.;Saint-Jérôme;La Rivière-du-Nord;Faible contenance;45.756889;-74.044028;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181544;Chic-Chocs, Barrage;Chic-Chocs, Lac;Lac-Huron;Rimouski-Neigette;Petit barrage;48.265;-68.329444;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181546;nan;Loiselle, Lac / Marois, Ruisseau;Sainte-Anne-des-Lacs;Les Pays-d'en-Haut;Forte contenance;45.864639;-74.125222;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2181550;nan;Trib.46D.58M.50S.-71D.06M.06S.;Château-Richer;La Côte-de-Beaupré;Faible contenance;46.982806;-71.1105;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2184730;Barrage du lac Harriman;;New Richmond;Bonaventure;Petit barrage;48.236803;-65.843583;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2186859;nan;;Potton;Memphrémagog;Faible contenance;45.076447;-72.297544;https://www.cehq.gouv.qc.ca/barrages/default.asp
